Opcode Coverage Matrix
======================

Opcode                           1.05  2.03  2.06  2.07  3.00  3.01  3.05  3.06  3.07  3.08  3.09  3.10  3.11  3.12  3.13  3.14  
STORE_ATTR                        ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓   
DELETE_ATTR                       ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓   
STORE_GLOBAL                      ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓   
DELETE_GLOBAL                     ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓   
SWAP                              -    -    -    -    -    -    -    -    -    -    -    -    ✓    ✓    ✓    ✓   
LOAD_CONST                        ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓   
LOAD_NAME                         ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓   
BUILD_TUPLE                       ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓   
BUILD_TUPLE_UNPACK                -    -    -    -    -    -    -    ✓    ✓    ✓    -    -    -    -    -    -   
BUILD_TUPLE_UNPACK_WITH_CALL      -    -    -    -    -    -    -    ✓    ✓    ✓    -    -    -    -    -    -   
BUILD_LIST                        ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓   
BUILD_LIST_UNPACK                 -    -    -    -    -    -    -    ✓    ✓    ✓    -    -    -    -    -    -   
BUILD_SET                         -    -    -    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓   
BUILD_SET_UNPACK                  -    -    -    -    -    -    -    ✓    ✓    ✓    -    -    -    -    -    -   
BUILD_MAP                         ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓   
BUILD_MAP_UNPACK                  -    -    -    -    -    -    -    ✓    ✓    ✓    -    -    -    -    -    -   
BUILD_MAP_UNPACK_WITH_CALL        -    -    -    -    -    -    -    ✓    ✓    ✓    -    -    -    -    -    -   
LOAD_ATTR                         ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓   
COMPARE_OP                        ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓   
IMPORT_NAME                       ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓   
IMPORT_FROM                       ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓   
JUMP_FORWARD                      ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓   
POP_JUMP_IF_FALSE                 -    -    -    ✓    -    ✓    ✓    ✓    ✓    ✓    ✓    ✓    -    ✓    ✓    ✓   
POP_JUMP_IF_TRUE                  -    -    -    ✓    -    ✓    ✓    ✓    ✓    ✓    ✓    ✓    -    ✓    ✓    ✓   
POP_JUMP_FORWARD_IF_FALSE         -    -    -    -    -    -    -    -    -    -    -    -    ✓    -    -    -   
POP_JUMP_FORWARD_IF_TRUE          -    -    -    -    -    -    -    -    -    -    -    -    ✓    -    -    -   
POP_JUMP_BACKWARD_IF_FALSE        -    -    -    -    -    -    -    -    -    -    -    -    ✓    -    -    -   
POP_JUMP_BACKWARD_IF_TRUE         -    -    -    -    -    -    -    -    -    -    -    -    ✓    -    -    -   
LOAD_GLOBAL                       ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓   
IS_OP                             -    -    -    -    -    -    -    -    -    -    ✓    ✓    ✓    ✓    ✓    ✓   
CONTAINS_OP                       -    -    -    -    -    -    -    -    -    -    ✓    ✓    ✓    ✓    ✓    ✓   
RERAISE                           -    -    -    -    -    -    -    -    -    -    ✓    ✓    ✓    ✓    ✓    ✓   
COPY                              -    -    -    -    -    -    -    -    -    -    -    -    ✓    ✓    ✓    ✓   
RETURN_CONST                      -    -    -    -    -    -    -    -    -    -    -    -    -    ✓    ✓    -   
BINARY_OP                         -    -    -    -    -    -    -    -    -    -    -    -    ✓    ✓    ✓    ✓   
SEND                              -    -    -    -    -    -    -    -    -    -    -    -    ✓    ✓    ✓    ✓   
LOAD_FAST                         ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓   
STORE_FAST                        ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓   
DELETE_FAST                       ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓   
LOAD_FAST_CHECK                   -    -    -    -    -    -    -    -    -    -    -    -    -    ✓    ✓    ✓   
POP_JUMP_IF_NOT_NONE              -    -    -    -    -    -    -    -    -    -    -    -    -    ✓    ✓    ✓   
POP_JUMP_IF_NONE                  -    -    -    -    -    -    -    -    -    -    -    -    -    ✓    ✓    ✓   
POP_JUMP_FORWARD_IF_NOT_NONE      -    -    -    -    -    -    -    -    -    -    -    -    ✓    -    -    -   
POP_JUMP_FORWARD_IF_NONE          -    -    -    -    -    -    -    -    -    -    -    -    ✓    -    -    -   
POP_JUMP_BACKWARD_IF_NOT_NONE     -    -    -    -    -    -    -    -    -    -    -    -    ✓    -    -    -   
POP_JUMP_BACKWARD_IF_NONE         -    -    -    -    -    -    -    -    -    -    -    -    ✓    -    -    -   
RAISE_VARARGS                     ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓   
GET_AWAITABLE                     -    -    -    -    -    -    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓   
MAKE_FUNCTION                     ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓   
BUILD_SLICE                       ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓   
JUMP_BACKWARD_NO_INTERRUPT        -    -    -    -    -    -    -    -    -    -    -    -    ✓    ✓    ✓    ✓   
MAKE_CELL                         -    -    -    -    -    -    -    -    -    -    -    -    ✓    ✓    ✓    ✓   
LOAD_CLOSURE                      ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    -    -   
